payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,248,523765990,7.1732659712433815,2.586090564727783,248,0,499.5021724700928
CompensationReq,50,391,42.56196077540517,42.36173963546753,0,50,0.00037288665771484375
InitModel,5,3113447,0.18686263263225555,0.1492931842803955,5,0,2.96921443939209
MaskMsg,250,5797628,4.849327061325312,4.37823224067688,250,0,5.529048919677734
ModelBroadcast,248,19441032,7.475090775638819,6.865175008773804,248,0,18.54041290283203
ModelMsg,50,3896883,109.24625134468079,109.08746480941772,0,50,3.7163572311401367
ModelSyncReq,2,398,0.01701774075627327,0.008049488067626953,2,0,0.0003795623779296875
ModelSyncResp,2,155557,0.01701774075627327,0.008049488067626953,2,0,0.14835071563720703
PublicKeyReq,5,75,0.01109340414404869,0.0002601146697998047,5,0,7.152557373046875e-05
RoundInitReq,50,16341,11.70342505350709,11.60363245010376,0,50,0.015583992004394531
SetupReq,1,1331,0.17869985103607178,0.16672706604003906,0,1,0.0012693405151367188
ShareMsg,248,127450,0.45324059948325157,0.06853175163269043,248,0,0.12154579162597656
StartExperiment,1,55,1800.0718814320862,0.0,0,1,5.245208740234375e-05
TrainUploadReq,248,48315,6141.710641160607,6140.826943159103,0,248,0.04607677459716797
UpMsg,496,1047690474,12.10918466374278,3.2244601249694824,496,0,999.15549659729
VerifyUploadsReq,50,391,13.625612333416939,8.247787952423096,0,50,0.00037288665771484375
